Species,Flowering,Fruit ripening,Seed dispersal,pdf table number,genus name,Color of ripe fruit,Height of mature trees (m),Year first cultivated,Location,Color of ripe fruits,Fruit drop,Location  altitude,Location  elevation,Height at maturity (m),Growth habit  maximum height,Flower color,Flowering habit,Dispersal,Cone ripening,Seed ripening  dispersal,Origin,Color of ripe fruit,Seed size (mm),Diam of ripe fruit (mm),Cleaned  (kg),seeds wt  (lb),Fruit  seed ripening,Location  elevation (m),Tree ht (m),Age (yrs),Interval (yrs)
P. parviflora,May-June,NA,Nov,3,Pinus,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. patula,Feb-Apr,NA,Midwinter §,3,Pinus,NA,NA,NA,"Mexico, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. peuce,May,NA,Fall,3,Pinus,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. pinaster,Apr,NA,Dec-Jan §,3,Pinus,NA,NA,NA,"Europe, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. pinea,May-June,NA,Late summer,3,Pinus,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late summer*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. ponderosa,,NA,,3,Pinus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. ponderosa,Apr-June,NA,Aug-Sept,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var. scopulorum,May-June,NA,Sept-Jan,3,Pinus,NA,NA,NA,"South Dakota, Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. pumila,July,NA,Fall or not shed t,3,Pinus,NA,NA,NA,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. pungens,Mar-Apr,NA,Fall §,3,Pinus,NA,NA,NA,"West Virginia, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Fall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. quadrifolia,June,NA,Sept-Oct,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. radiata,Jan-Feb,NA,Midwinter §,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. X acuminata,May,NA,NA,3,Populus,NA,NA,NA,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. alba,Apr-May,NA,NA,3,Populus,NA,NA,NA,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Early June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-May,NA,NA,3,Populus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mar-Apr,NA,NA,3,Populus,NA,NA,NA,S Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. balsamifera,Late Apr,NA,NA,3,Populus,NA,NA,NA,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Early June-early July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-May,NA,NA,3,Populus,NA,NA,NA,Lake States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-June,NA,NA,3,Populus,NA,NA,NA,Interior Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. balsamifera spp. trichocarpa,Apr-June,NA,NA,3,Populus,NA,NA,NA,"Vancouver Island, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late May-mid-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. X canescens,Late Apr,NA,NA,3,Populus,NA,NA,NA,Great Lakes region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. deltoides,Early Mar-early Apr,NA,NA,3,Populus,NA,NA,NA,Lower Mississippi Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May-late Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-early May,NA,NA,3,Populus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-mid-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spp. monilifera,,NA,NA,3,Populus,NA,NA,NA,Alberta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late June-early Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-May,NA,NA,3,Populus,NA,NA,NA,"Lincoln, Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spp. wislizeni,Apr-May,NA,NA,3,Populus,NA,NA,NA,"Albuquerque, New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. fremontii,mid-Feb-mid-Mar,NA,NA,3,Populus,NA,NA,NA,Central Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mar-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. grandidentata,Mid-Mar-mid-Apr,NA,NA,3,Populus,NA,NA,NA,"Syracuse, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May-late May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Late Mar-min-May,NA,NA,3,Populus,NA,NA,NA,S Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,early May-late June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mid-Mar-Apr,NA,NA,3,Populus,NA,NA,NA,New England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-early June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Late Apr-early May,NA,NA,3,Populus,NA,NA,NA,N Great Lakes region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late May-early June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. heterophylla,Mar-May,NA,NA,3,Populus,NA,NA,NA,Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apr-July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. maximowiczii,Late Apr,NA,NA,3,Populus,NA,NA,NA,"Rochester, New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. nigra,Apr,NA,NA,3,Populus,NA,NA,NA,Rochester. New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. tremula,Mid-Apr,NA,NA,3,Populus,NA,NA,NA,N Great Lakes region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. tremuloides,Late Mar-early May,NA,NA,3,Populus,NA,NA,NA,Great Lakes region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May-mid-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Early Apr-early May,NA,NA,3,Populus,NA,NA,NA,"Alberta, Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May-mid-June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mid-Mar-Apr,NA,NA,3,Populus,NA,NA,NA,New England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May-early June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-May,NA,NA,3,Populus,NA,NA,NA,Interior Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Late May-early June,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. tremula,Mid-Apr,NA,NA,3,Populus,NA,NA,NA,N Great Lakes region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. alba,May-June,Aug-Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. alternifolia,May-July,July-Sept,July-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. amomum,May-July,Aug-Sept,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. canadensis,May-July,Aug,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. controversa,May-June,Aug-Sept,Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. drummondii,May-June,Aug-Oct,Aug-winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. florida,Mar & Apr (S US)-May (N US),Sept (N US)-Oct (S US),Sept-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. kousa,May-June,Aug-Oct,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. macrophylla,July-Aug,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. mas,Feb-March,Aug-Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. nuttallii,April-May,Sept-Oct,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. officinalis,Feb-Mar,Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. racemosa,late May-July,July-Oct,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. rugosa,May-July,Aug-Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. sanguinea,May-June,Aug-Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. sericea,"May-July, June-Aug (N US)",July-Oct,Oct-winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. sericea ssp. occidentalis,Apr-Aug,July-Nov,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. resinosa,Apr-June,NA,Oct-Nov,3,Pinus,NA,NA,NA,"Great Lakes, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. rigida,May,NA,Fall §,3,Pinus,NA,NA,NA,New Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. roxburghii,Feb-Apr,NA,Apr-May,3,Pinus,NA,NA,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. sabiniana,Mar-Apr,NA,Oct Il,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. serotina,Mar-Apr,NA,Spring §,3,Pinus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. sibirica,May,NA,Not shed,3,Pinus,NA,NA,NA,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. strobiformis,June,NA,Sept-Oct,3,Pinus,NA,NA,NA,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. strobus,May-June,NA,Aug-Sept,3,Pinus,NA,NA,NA,NE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. sylvestris,May-June,NA,Dec-Mar,3,Pinus,NA,NA,NA,"Great Britain, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. taeda,Feb-Apr,NA,Oct-Dec,3,Pinus,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. thunbergiana,Apr-May,NA,Nov-Dec,3,Pinus,NA,NA,NA,"Japan, Long Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. torreyana,Feb-Mar,NA,Sept II,3,Pinus,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-Jul*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. virginiana,Mar-May,NA,Oct-Nov §,3,Pinus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. wallichiana,Apr-June,NA,Sept-Nov,3,Pinus,NA,NA,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. washoensis,July,NA,Sept,3,Pinus,NA,NA,NA,"Nevada, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. koreana,May-early June,Sept-Oct,NA,2,Berberis,NA,NA,NA,"NE US & Carver Co., Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. thunbergii,Apr-June,Oct,NA,2,Berberis,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mar-Apr,May-Sept,NA,2,Berberis,NA,NA,NA,SE US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,May-June,Sept-Nov,NA,2,Berberis,NA,NA,NA,NE US & Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. vulgaris,Apr-June,Sept-Oct,NA,2,Berberis,NA,NA,NA,NE US & W Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. gestivalis,Mar,May-June,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lustrous, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. X anomala,May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright crimson,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. berberifolia,Mar-Apr,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange with red face,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. brachyacantha,Apr-May,Aug,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright blue with white wax,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. brainerdii,May-June,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. calpodendron,May-June,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange-red to red,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. chrysocarpa,May-June,Aug-Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow to orange to crimson,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. coccinoides,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glossy, dark crimson",NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. crus-galli,June,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dull red,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. dilatata,May,Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scarlet with dark spots,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. douglasii,May,Aug-Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lustrous, black to chestnut-brown",NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. erythropoda,Apr-May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red to wine purple, brown, or black",NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. flabellata,May,Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crimson,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. flava,Apr,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dark orange-brown or yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. greggiana,Apr,Oct-Nov,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. harbisonii,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red or orange-red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. intricata,May-June,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greenish or reddish brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. lacrimata,Apr,Aug,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dull yellow or orange or red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. laevigata,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deep red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. marshallii,Apr-May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright scarlet,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. mollis,May,Aug-Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scarlet with large dark dots,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. monogyna,May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. nitida,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dull red covered with white wax,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. opaca,Feb-Mar,May,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lustrous scarlet with pale dots,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. pedicellata,May,Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glossy, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. persimilis,May-June,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. phaenopyrum,May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lustrous scarlet,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. piperi,May-June,Aug-Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salmon-orange to scarlet,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. pruinosa,May-June,Oct-Nov,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dark purple-red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. pulcherrima,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_SELECTED C. punctata,May-June,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dull red or bright yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. reverchonii,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shiny or dull red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. rufula,Mar-Apr,June-July,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. saligna,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red to blue-black,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. sanguineat,May,Aug-Sept,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. spathulata,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. succulenta,May-June,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. tracyi,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange-red,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. triflora,May,Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red, hairy",NA,NA,NA,NA,NA,NA,NA,NA,NA
C. uniflora,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow to dull red to brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. viridis,Apr-May,Sept-Oct,NA,2,Crataegus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bright red, orange-red, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA
E. angustifolia,June,Aug-Oct,All winter,2,Elaeagnus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Dec,NA,NA,NA,NA,NA,NA,NA,NA
E. commutata,June-July,Aug-Sep,Sep-Nov,2,Elaeagnus,NA,NA,NA,"Black Hills, South Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09-Aug,NA,NA,NA,NA,NA,NA,NA,NA
